40.7441065,-73.9956382
40.7440723,-73.9955570
40.7440381,-73.9954759
40.7440040,-73.9953947
40.7439698,-73.9953136
40.7439356,-73.9952324
40.7439014,-73.9951513
40.7438673,-73.9950701
40.7438331,-73.9949890
40.7437989,-73.9949078
40.7437647,-73.9948267
40.7437306,-73.9947455
40.7436964,-73.9946644
40.7436622,-73.9945832
40.7436280,-73.9945021
40.7435938,-73.9944209
40.7435597,-73.9943398
40.7435255,-73.9942586
40.7434913,-73.9941775
40.7434571,-73.9940963
40.7434230,-73.9940152
40.7433888,-73.9939340
40.7433546,-73.9938529
40.7433204,-73.9937717
40.7432862,-73.9936906
40.7432521,-73.9936094
40.7432179,-73.9935283
40.7431837,-73.9934471
40.7431495,-73.9933660
40.7431154,-73.9932848
40.7430812,-73.9932037
40.7430470,-73.9931225
40.7430128,-73.9930414
40.7429787,-73.9929602
40.7429445,-73.9928791
40.7429103,-73.9927979
40.7429719,-73.9927531
40.7430334,-73.9927083
40.7430950,-73.9926634
40.7431565,-73.9926186
40.7432181,-73.9925738
40.7432796,-73.9925290
40.7433412,-73.9924842
40.7434028,-73.9924393
40.7434643,-73.9923945
40.7435259,-73.9923497
40.7435874,-73.9923049
40.7436490,-73.9922601
40.7437106,-73.9922152
40.7437721,-73.9921704
40.7438337,-73.9921256
40.7438952,-73.9920808
40.7439568,-73.9920360
40.7440183,-73.9919912
40.7440799,-73.9919463
40.7441415,-73.9919015
40.7442030,-73.9918567
40.7442646,-73.9918119
40.7443261,-73.9917671
40.7443877,-73.9917222
40.7444493,-73.9916774
40.7445108,-73.9916326
40.7445724,-73.9915878
40.7446339,-73.9915430
40.7446955,-73.9914981
40.7447570,-73.9914533
40.7448186,-73.9914085
40.7448529,-73.9914898
40.7448871,-73.9915710
40.7449214,-73.9916523
40.7449556,-73.9917335
40.7449899,-73.9918148
40.7450241,-73.9918960
40.7450584,-73.9919773
40.7450927,-73.9920586
40.7451269,-73.9921398
40.7451612,-73.9922211
40.7451954,-73.9923023
40.7452297,-73.9923836
40.7452639,-73.9924648
40.7452982,-73.9925461
40.7453325,-73.9926274
40.7453667,-73.9927086
40.7454010,-73.9927899
40.7454352,-73.9928711
40.7454695,-73.9929524
40.7455037,-73.9930336
40.7455380,-73.9931149
40.7455723,-73.9931962
